,,14ff0,,,,,,,
hc880,,,,,,,,,
,,,,,,,,,
hc880,,,,,,,,,
,,,34f80,54f80,44f80,24f60,,,
hc880,,,,,,,,,
,,,,53f80,43f80,,,,
hc880,,,,,,,,,
,,22f80,32f80,52f80,42f80,,,,
hc880,,,,,,,,,
,,,,51f80,41f80,,,,
hc880,,,,,,,,,
,,,34f80,54f80,44f80,22f60,,,
hc880,,,,,,,,,
,,,,53f80,43f80,,,,
hc880,,,,,,,,,
,,20f80,32f80,52f80,42f80,,,,
hc880,,,,,,,,,
,,,,51f80,41f80,,,,
hc880,,,,,,,,,
,,,30f80,50f80,40f80,20f60,,,
hc880,,,,,,,,,
,,,,51f80,41f80,,,,
hc880,,,,,,,,,
,,22f80,32f80,52f80,42f80,,,,
hc880,,,,,,,,,
,,,,53f80,43f80,,,,
hc880,,,,,,,,,
,,,30f80,50f80,40f80,22f60,,,
hc880,,,,,,,,,
,,,,51f80,41f80,,,,
hc880,,,,,,,,,
,,,31f80,52f80,42f80,52f80,,,
hc880,,,,,,,,,
,,,,53f80,43f80,,,,
hc880,,,,,,,,,
,,,32f80,52f80,42f80,,,,
hc880,,,,,,,,,
,,,,51f80,41f80,,,,
hc880,,,,,,,,,
,,22f80,30f80,50f80,40f80,,,,
hc880,,,,,,,,,
,,,,51f80,41f80,,,,
hc880,,,,,,,,,
,,,32f80,52f80,42f80,22f60,,,
hc880,,,,,,,,,
,,,,51f80,41f80,,,,
hc880,,,,,,,,,
,,20f80,31f80,50f80,40f80,,,,
hc880,,,,,,,,,
,,,,51f80,41f80,,,,
hc880,,,,,,,,,
,,,32f80,53f80,43f80,20f60,,,
hc880,,,,,,,,,
,,,,52f80,42f80,,,,
hc880,,,,,,,,,
,,,34f80,54f80,44f80,,,,
hc880,,,,,,,,,
,,,,54f80,42f80,,,,
hc880,,,,,,,,,
,,,32f80,53f80,43f80,,,,
hc880,,,,,,,,,
,,,,52f80,42f80,,,,
hc880,,,,,,,,,
,,14ff0,33f80,54f80,44f80,,,,
hc880,,,,,,,,,
,,,,52f80,42f80,,,,
hc880,,,,,,,,,
,,,34f80,54f80,44f80,,,,
hc880,,,,,,,,,
,,,,,,,,,